Year,State,CO2_annual
1995,IL,294651604
1995,IN,423303760
1995,KS,116978284
1995,KY,311608532
1995,LA,205935748
1995,MA,95554620
1995,MD,114221764
1995,ME,19593728
1995,MI,300692620
1995,MN,135761424
1995,MO,226112988
1995,MS,66381880
1995,MT,67412352
1995,NC,239795396
1995,ND,118398188
1995,NE,68494812
1995,NH,18163072
1995,NJ,80590184
1995,NM,114413280
1995,NV,72312552
1995,NY,227914344
1995,OH,465559304
1995,OK,172697780
1995,OR,13242748
1995,PA,447139972
1995,RI,8713724
1995,SC,105659580
1995,SD,11817108
1995,TN,237306652
1995,TX,889262552
1995,US-TOTAL,8432024380
1995,UT,118720848
1995,VA,146293032
1995,VT,96736
1995,WA,38563760
1995,WI,174816532
1995,WV,298582236
1995,WY,166278320
1996,AK,16730768
1996,AL,298848272
1996,AR,113021348
1996,AZ,133582572
1996,CA,188523688
1996,CO,138301760
1996,CT,45211908
1996,DC,542840
1996,DE,31771976
1996,FL,444010984
1996,GA,283797808
1996,HI,34128416
1996,IA,139038024
1996,ID,2757268
1996,IL,326678812
1996,IN,436022856
1996,KS,133968200
1996,KY,320721400
1996,LA,190839120
1996,MA,93451128
1996,MD,116793132
1996,ME,17994912
1996,MI,310640392
1996,MN,138144824
1996,MO,236798388
1996,MS,73835904
1996,MT,56511924
1996,NC,270644684
1996,ND,123797668
1996,NE,68494848
1996,NH,17331064
1996,NJ,76466008
1996,NM,116686044
1996,NV,77865132
1996,NY,211696968
1996,OH,497318504
1996,OK,176872892
1996,OR,15395124
1996,PA,463192380
1996,RI,14645480
1996,SC,121610376
1996,SD,10642392
1996,TN,233987920
1996,TX,930984380
1996,US-TOTAL,8747918564
1996,UT,119787140
1996,VA,158471128
1996,VT,34164
1996,WA,48244276
1996,WI,184092672
1996,WV,317243352
1996,WY,169745344
1997,AK,18009344
1997,AL,291681240
1997,AR,106518808
1997,AZ,145359800
1997,CA,200505292
1997,CO,139247836
1997,CT,57983868
1997,DC,363280
1997,DE,27590216
1997,FL,461040620
1997,GA,299701076
1997,HI,33841468
1997,IA,143322436
1997,ID,3409244
1997,IL,344592828
1997,IN,454679004
1997,KS,124815840
1997,KY,332415992
1997,LA,207424096
1997,MA,115986048
1997,MD,116923680
1997,ME,18928168
1997,MI,309634608
1997,MN,140948356
1997,MO,250294852
1997,MS,79083008
1997,MT,65483784
1997,NC,284622836
1997,ND,118689792
1997,NE,73554532
1997,NH,21254428
1997,NJ,79916484
1997,NM,121456056
1997,NV,77362308
1997,NY,234480524
1997,OH,485553180
1997,OK,180848776
1997,OR,13538636
1997,PA,470174320
1997,RI,14312876
1997,SC,125849128
1997,SD,14240608
1997,TN,248328596
1997,TX,958042780
1997,US-TOTAL,9037286080
1997,UT,123831428
1997,VA,160164528
1997,VT,69488
1997,WA,40902644
1997,WI,198528136
1997,WV,333471736
1997,WY,168307468
1998,AK,17206984
1998,AL,301511928
1998,AR,113276632
1998,AZ,154788660
1998,CA,212758088
1998,CO,144747340
1998,CT,53345596
1998,DC,1051432
1998,DE,26604960
1998,FL,505029660
1998,GA,308809020
1998,HI,33451712
1998,IA,157714716
1998,ID,3738852
1998,IL,345544204
1998,IN,460672044
1998,KS,127376860
1998,KY,333005912
1998,LA,225989112
1998,MA,118725552
1998,MD,129411988
1998,ME,22359044
1998,MI,328538556
1998,MN,145233864
1998,MO,265274892
1998,MS,86094684
1998,MT,74842244
1998,NC,284451176
1998,ND,126660500
1998,NE,78686516
1998,NH,20783216
1998,NJ,75750616
1998,NM,123790896
1998,NV,85362792
1998,NY,250616716
1998,OH,501236516
1998,OK,183017616
1998,OR,27808736
1998,PA,481949688
1998,RI,14498468
1998,SC,132245488
1998,SD,13711160
1998,TN,243531452
1998,TX,996810364
1998,US-TOTAL,9406398068
1998,UT,127302952
1998,VA,170774544
1998,VT,224864
1998,WA,51013500
1998,WI,195531016
1998,WV,336783640
1998,WY,186751100
1999,AK,17534448
1999,AL,307005552
1999,AR,117964404
1999,AZ,163889052
1999,CA,231538792
1999,CO,145218328
1999,CT,48569880
1999,DC,1020460
1999,DE,24943676
1999,FL,490295308
1999,GA,316152124
1999,HI,33543400
1999,IA,159025872
1999,ID,3761636
1999,IL,350088032
1999,IN,471356212
1999,KS,135875664
1999,KY,343171496
1999,LA,226538020
1999,MA,106897712
1999,MD,133786940
1999,ME,27645544
1999,MI,325882044
1999,MN,139968340
1999,MO,262456128
1999,MS,89695432
1999,MT,75289560
1999,NC,281259888
1999,ND,127754460
1999,NE,75942704
1999,NH,20316068
1999,NJ,78963120
1999,NM,125952252
1999,NV,85357384
1999,NY,251143456
1999,OH,482961384
1999,OK,178511280
1999,OR,28237828
1999,PA,466673504
1999,RI,12706576
1999,SC,142702940
1999,SD,15408008
1999,TN,240638216
1999,TX,1019939836
1999,US-TOTAL,9465209184
1999,UT,130507940
1999,VA,176937036
1999,VT,174556
1999,WA,48815716
1999,WI,198320752
1999,WV,347126452
1999,WY,179743772
2000,AK,18231376
2000,AL,326059988
2000,AR,116254848
2000,AZ,183486320
2000,CA,271186464
2000,CO,160345824
2000,CT,50607844
2000,DC,684388
2000,DE,24318552
2000,FL,499846660
2000,GA,330346028
2000,HI,34716320
2000,IA,167535036
2000,ID,3310568
2000,IL,378972720
2000,IN,496269516
2000,KS,148602848
2000,KY,350344132
2000,LA,232366636
2000,MA,99264796
2000,MD,129903396
2000,ME,26414708
2000,MI,315427276
2000,MN,151441468
2000,MO,268268016
2000,MS,90125044
2000,MT,71582716
2000,NC,296665136
2000,ND,130455100
2000,NE,79235824
2000,NH,19622928
2000,NJ,87982264
2000,NM,130046924
2000,NV,99038832
2000,NY,247617292
2000,OH,504398804
2000,OK,187614272
2000,OR,33035844
2000,PA,496997904
2000,RI,11516940
2000,SC,154192500
2000,SD,15907300
2000,TN,260061144
2000,TX,1059264624
2000,US-TOTAL,9883337780
2000,UT,133015024
2000,VA,194242400
2000,VT,565664
2000,WA,62902164
2000,WI,206467768
2000,WV,341364020
2000,WY,185213620
2001,AK,18529128
2001,AL,315198876
2001,AR,113944684
2001,AZ,188036048
2001,CA,286652008
2001,CO,169461764
2001,CT,45649924
2001,DC,655244
2001,DE,24333856
2001,FL,494246216
2001,GA,306547792
2001,HI,35224684
2001,IA,166116952
2001,ID,4403828
2001,IL,372609056
2001,IN,474536768
2001,KS,143727388
