State,Year,e_price
SAT,2005,7.59
DE,2005,7.76
DC,2005,9.18
FL,2005,8.76
GA,2005,7.43
MD,2005,8.13
NC,2005,7.19
SC,2005,6.72
VA,2005,6.64
WV,2005,5.15
ESC,2005,6.17
AL,2005,6.46
KY,2005,5.01
MS,2005,7.54
TN,2005,6.31
WSC,2005,8.48
AR,2005,6.3
LA,2005,8.03
OK,2005,6.85
TX,2005,9.14
MTN,2005,7.26
AZ,2005,7.79
CO,2005,7.64
ID,2005,5.12
MT,2005,6.72
NV,2005,9.02
NM,2005,7.51
UT,2005,5.92
WY,2005,5.16
PCC,2005,9.74
CA,2005,11.63
OR,2005,6.34
WA,2005,5.87
PCN,2005,15.96
AK,2005,11.72
HI,2005,18.33
AT,2005,9.33
NEW,2006,14.51
CT,2006,14.83
ME,2006,11.8
MA,2006,15.45
NH,2006,13.84
RI,2006,13.98
VT,2006,11.37
MAT,2006,11.92
NJ,2006,11.88
NY,2006,15.27
PA,2006,8.68
ENC,2006,7.45
IL,2006,7.07
IN,2006,6.46
MI,2006,8.14
OH,2006,7.71
WI,2006,8.13
WNC,2006,6.65
IA,2006,7.01
KS,2006,6.89
MN,2006,6.98
MO,2006,6.3
NE,2006,6.07
ND,2006,6.21
SD,2006,6.7
SAT,2006,8.42
DE,2006,10.13
DC,2006,11.08
FL,2006,10.45
GA,2006,7.63
MD,2006,9.95
NC,2006,7.53
SC,2006,6.98
VA,2006,6.86
WV,2006,5.04
ESC,2006,6.78
AL,2006,7.07
KY,2006,5.43
MS,2006,8.33
TN,2006,6.97
WSC,2006,9.42
AR,2006,6.99
LA,2006,8.3
OK,2006,7.3
TX,2006,10.34
MTN,2006,7.46
AZ,2006,8.24
CO,2006,7.61
ID,2006,4.92
MT,2006,6.91
NV,2006,9.63
NM,2006,7.37
UT,2006,5.99
WY,2006,5.27
PCC,2006,10.62
CA,2006,12.82
OR,2006,6.53
WA,2006,6.14
PCN,2006,17.82
AK,2006,12.84
HI,2006,20.72
AT,2006,10.17
NEW,2007,15.08
CT,2007,16.45
ME,2007,14.59
MA,2007,15.16
NH,2007,13.98
RI,2007,13.12
VT,2007,12.04
MAT,2007,12.31
NJ,2007,13.01
NY,2007,15.22
PA,2007,9.08
ENC,2007,7.97
IL,2007,8.46
IN,2007,6.5
MI,2007,8.53
OH,2007,7.91
WI,2007,8.48
WNC,2007,6.83
IA,2007,6.83
KS,2007,6.84
MN,2007,7.44
MO,2007,6.56
NE,2007,6.28
ND,2007,6.42
SD,2007,6.89
SAT,2007,8.68
DE,2007,11.35
DC,2007,11.79
FL,2007,10.33
GA,2007,7.86
MD,2007,11.5
NC,2007,7.83
SC,2007,7.18
VA,2007,7.12
WV,2007,5.34
ESC,2007,7.01
AL,2007,7.57
KY,2007,5.84
MS,2007,8.03
TN,2007,7.07
WSC,2007,9.27
AR,2007,6.96
LA,2007,8.39
OK,2007,7.29
TX,2007,10.11
MTN,2007,7.69
AZ,2007,8.54
CO,2007,7.76
ID,2007,5.07
MT,2007,7.13
NV,2007,9.99
NM,2007,7.44
UT,2007,6.41
WY,2007,5.29
PCC,2007,10.71
CA,2007,12.8
OR,2007,7.02
WA,2007,6.37
PCN,2007,18.29
AK,2007,13.28
HI,2007,21.29
AT,2007,10.495000000000001
NEW,2008,16.06
CT,2008,17.8
ME,2008,13.8
MA,2008,16.23
NH,2008,14.63
RI,2008,16.04
VT,2008,12.33
