State,Year,e_price
MA,2023,22.97
NH,2023,22.98
RI,2023,21.97
VT,2023,17.52
MAT,2023,15.43
NJ,2023,15.41
NY,2023,18.32
PA,2023,12.54
ENC,2023,12.03
IL,2023,11.91
IN,2023,11.5
MI,2023,13.66
OH,2023,11.12
WI,2023,12.63
WNC,2023,10.49
IA,2023,9.43
KS,2023,11.12
MN,2023,12.17
MO,2023,11.01
NE,2023,9.19
ND,2023,7.92
SD,2023,10.42
SAT,2023,12.03
DE,2023,12.96
DC,2023,16.53
FL,2023,13.51
GA,2023,11.36
MD,2023,14.37
NC,2023,10.86
SC,2023,10.76
VA,2023,10.92
WV,2023,10.27
ESC,2023,10.87
AL,2023,11.5
KY,2023,10.05
MS,2023,11.1
TN,2023,10.79
WSC,2023,9.76
AR,2023,9.74
LA,2023,8.88
OK,2023,9.4
TX,2023,9.99
MTN,2023,11.07
AZ,2023,12.14
CO,2023,11.77
ID,2023,9.12
MT,2023,10.91
NV,2023,13.01
NM,2023,9.67
UT,2023,9.03
WY,2023,8.34
PCC,2023,19.15
CA,2023,24.73
OR,2023,10.23
WA,2023,9.61
PCN,2023,31.72
AK,2023,21.39
HI,2023,38.7
AT,2023,13.73
