State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,renewable_ratio
ND,1968,0.906854614832392,0.2078451620204192,0.18541020535906894,0.513599247452904,0.09314538516760794
ND,1969,0.8837512954143268,0.23051827796879035,0.16059396383689564,0.49263905360864085,0.11624496331685928
ND,1970,0.8915684043455259,0.26765279277581694,0.16157659387886739,0.4623390176908415,0.1084279719671549
ND,1971,0.8782954404273823,0.28245922297357257,0.1500417088191967,0.445794508634613,0.12170100988587756
ND,1972,0.883513758541978,0.311288132070536,0.1435804818266843,0.4286451446447576,0.11648624145802203
ND,1973,0.9070887563903048,0.34639795658104366,0.12685979587989368,0.4338310039293675,0.09291124360969515
ND,1974,0.8967638071848764,0.35896181963561596,0.13000099948597865,0.40780098806328174,0.1032397624079045
ND,1975,0.8801697829795622,0.37677480306397787,0.10027254993916902,0.40312242997641523,0.11983361539873172
ND,1976,0.8992386752950133,0.42411349594448183,0.10616087376650757,0.3689643055840239,0.10076132470498668
ND,1977,0.9385929824662375,0.4534490548228638,0.09670475768415054,0.3884391699592231,0.061404139844201885
ND,1978,0.9191102967786345,0.4663349724023961,0.08857805908240814,0.36419726529383034,0.08088970322136543
ND,1979,0.9331716954853994,0.46147297115967445,0.05688248712526779,0.4148162372004571,0.06682830451460062
ND,1980,0.9470088927818522,0.4151659787998456,0.0976795629323911,0.4341633510496155,0.05299110721814781
ND,1981,0.9552979109151593,0.40854759844520444,0.09442601672916066,0.45232429574079414,0.044702089084840746
ND,1982,0.9499333356406289,0.3878168205138347,0.1102623559794387,0.45185415914735544,0.050068312427588
ND,1983,0.9554392605940121,0.3799577283448544,0.13067297261722668,0.444808559631931,0.04456225234998026
ND,1984,0.9576832340863722,0.4028076128257178,0.12527625261481629,0.42959936864583814,0.042318172674237854
ND,1985,0.9630245096762431,0.4571783918943557,0.12169926809574662,0.3841468496861407,0.03697679264449249
ND,1986,0.9571568242640499,0.4783586083853702,0.10107546833184657,0.37772274754683316,0.04284317573595004
ND,1987,0.9612602632607846,0.4867140386005237,0.11935150409345639,0.3551947205668045,0.03874121772922763
ND,1988,0.9649751654244734,0.5427246678967819,0.10423832273241651,0.318012174795275,0.03502344094053638
ND,1989,0.9632614373883033,0.5597566005108205,0.0951095804180625,0.3083952564594202,0.03673856261169678
ND,1990,0.9678498606329382,0.5621829435599656,0.09682747778973412,0.30883943928323854,0.032150139367061806
ND,1991,0.9662100669391607,0.5632922359601772,0.09979424617360497,0.30312358480537843,0.033789933060839356
ND,1992,0.968019515757364,0.5944543393666004,0.09930812212586053,0.2742570542649031,0.03197904672367867
ND,1993,0.9720343791432425,0.6040724636842075,0.1084292008499256,0.2595327146091095,0.02796562085675743
ND,1994,0.9638020710616841,0.622215317374299,0.10606680882145045,0.2355199448659347,0.03619792893831582
ND,1995,0.9529508948501699,0.6001236056403045,0.0944656865275926,0.25836160268227276,0.04705062364663972
ND,1996,0.9464384358726955,0.5797096538974287,0.09061420500998019,0.27611457696528663,0.053561564127304465
ND,1997,0.9450646755795238,0.5563513747041862,0.09189830716651409,0.2968149937088235,0.05493675261037408
ND,1998,0.9590300894668814,0.5669384129918331,0.09421534151219971,0.2978763349628485,0.04096991053311863
ND,1999,0.954598927024756,0.5858789563268911,0.0947794798871006,0.2739404908107642,0.045401072975244004
ND,2000,0.9605217058954677,0.5912015334412378,0.0945834431199275,0.2747367293343024,0.03947684636922462
ND,2001,0.969219218100804,0.5935527505612554,0.10184234793218157,0.273824119607367,0.030780781899195992
ND,2002,0.9652242387323473,0.5970136170149543,0.10276871875255365,0.26544190296483944,0.03477427550497359
ND,2003,0.9607947758341864,0.6035743030273963,0.10155169235334761,0.2556687804534425,0.03920522416581361
ND,2004,0.9611928098459659,0.5882997564258221,0.10239846459940506,0.2704945888207387,0.038807190154034096
