State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio
AK,1960,0.684466920293217,0.5225480189292011,0.01150598496798738,0.15041291639602858
AK,1961,0.8697456540324879,0.20477700199487034,0.011345825021373612,0.653622827016244
AK,1962,0.9099313578575917,0.16420940687388214,0.02664716972011408,0.7190747812635955
AK,1963,0.9113757065038154,0.15133112710813915,0.05164159075659877,0.7084029886390775
AK,1964,0.9101753919155635,0.12884986363333997,0.07020111310672077,0.7111244151755027
AK,1965,0.9096759828661096,0.14770558547860385,0.07765384452266848,0.6843165528648374
AK,1966,0.9290786784741144,0.12313521798365122,0.09684945504087193,0.7090940054495913
AK,1967,0.9590201265540665,0.06991482310532283,0.07061736290783646,0.8184879405409072
AK,1968,0.9798732682283638,0.02774628982304033,0.041519832668529065,0.9106071457367945
AK,1969,0.983060695002354,0.02084606369018402,0.10287397197151071,0.8593406593406593
AK,1970,0.9856343799287817,0.013924976829645046,0.18314824149200826,0.7885611616071283
AK,1971,0.9849306351868177,0.018043799587721798,0.20287136522413485,0.7640154703749611
AK,1972,0.9847728122547789,0.018294042367183426,0.22429117388381062,0.7421875960037848
AK,1973,0.9862935924378923,0.01891225698029289,0.23459164653330608,0.7327896889242933
AK,1974,0.9851407428022965,0.019481701116451332,0.2351006019346114,0.7305584397512337
AK,1975,0.9853879790325647,0.020285043048426085,0.27755540617615904,0.6875475298079796
AK,1976,0.9834872098552753,0.019764384987393788,0.303878765039972,0.6598440598279095
AK,1977,0.9904212668123542,0.009201406899967539,0.16016622436105524,0.8210536355513315
AK,1978,0.9961793813842664,0.004030931140144843,0.07243021954153284,0.9197182307025887
AK,1979,0.9966571140810427,0.00383307619624802,0.06920371797179568,0.923620319912999
AK,1980,0.9977419346083803,0.0033491017947820233,0.06306380391741777,0.9313290288961805
AK,1981,0.9974909668271839,0.0034316800285751,0.06663312577182173,0.927426161026787
AK,1982,0.9977442747914389,0.003351989603802309,0.06845436006275275,0.9259379251248838
AK,1983,0.9975585981006962,0.0031216340030513707,0.07081389312973213,0.9236230709679127
AK,1984,0.9971954545843202,0.003369880610662604,0.07431944758100413,0.9195061263926535
AK,1985,0.9972178258429341,0.005278409851583535,0.07954519964572909,0.9123942163456215
AK,1986,0.9975117579084077,0.005692324426235452,0.07340616310559388,0.9184132703765785
AK,1987,0.9973869390062224,0.005067827233578171,0.08815798469657704,0.9041611270760672
AK,1988,0.9973152792172735,0.005727544604026829,0.09081152208098683,0.9007762125322598
AK,1989,0.9958752444730592,0.005549822355761176,0.09820750115419843,0.8921179209630996
AK,1990,0.9956625836465439,0.006288391285661055,0.10228146162684892,0.8870927307340339
AK,1991,0.99600848254953,0.0051519920445625925,0.1153664912615987,0.8754899992433687
AK,1992,0.995636504959926,0.005705613699195182,0.1224134292931882,0.8675174619675426
AK,1993,0.9947206499116041,0.006416089134727083,0.12785835280989047,0.8604462079669866
AK,1994,0.9940590612979341,0.006157046108958433,0.1567408383556896,0.8311611768332859
AK,1995,0.9939792636917177,0.007086256290326507,0.14646365340932954,0.8404293539920618
AK,1996,0.9940480203894493,0.006490821151806102,0.15654049121671432,0.8310167080209289
AK,1997,0.9955015859197089,0.006785870389875553,0.16580023321554557,0.8229154823142878
AK,1998,0.9956687540245946,0.006832360478545489,0.17826999131860713,0.810566402227442
AK,1999,0.9963510000003573,0.008722871437508776,0.1935324127882569,0.7940957157745916
AK,2000,0.9953898319426774,0.009670624571243793,0.20747796155322318,0.7782412458182104
AK,2001,0.9935507230408825,0.00897313833404633,0.2102145149193907,0.7743630697874455
AK,2002,0.993261806690066,0.006722025556330521,0.20281130915564846,0.783728471978087
AK,2003,0.9927204329114285,0.0063364622371048255,0.21142344205466101,0.7749605286196627
AK,2004,0.9926747984425941,0.009382542988570856,0.21630089055993737,0.7669913648940859
AK,2005,0.993433455274778,0.00938751843296897,0.22696670414996853,0.7570792326918405
AK,2006,0.9936718107196614,0.010578707151596253,0.2365447458374001,0.7465483577306651
AK,2007,0.9931621891516672,0.010061134520301045,0.23835545704751931,0.7447455975838468
AK,2008,0.9933225981934353,0.011914660808879346,0.231924010102201,0.7494839272823549
AK,2009,0.9915413964650209,0.01564774243997142,0.23926010812559825,0.7366335458994513
AK,2010,0.9902470516949377,0.019290889084861287,0.2410556294604001,0.7299005331496763
AK,2011,0.9902154320995167,0.020400388972933763,0.24687549823465194,0.722939544891931
AK,2012,0.9886255699998849,0.020027178463815954,0.2553068954805257,0.7132914960555433
AK,2013,0.987697412348686,0.016456064875874497,0.2513979762943375,0.7198433711784741
AK,2014,0.9865864347288512,0.015552902849264146,0.2589011966326447,0.7121323352469423
AK,2015,0.9833565744992426,0.012411062328750838,0.2663668393086674,0.7045786728618244
AK,2016,0.9824802923318622,0.009713276506508843,0.2576818975096753,0.715085118315678
AK,2017,0.9837634250364121,0.009878378694334838,0.26333632698980736,0.7105487193522699
AK,2018,0.9828816674972866,0.009749091339599728,0.2660434299617253,0.7070891461959615
AK,2019,0.983403279937475,0.010849203586578718,0.26589415258065385,0.7066599237702423
AK,2020,0.9817200037061058,0.01150597609561753,0.2790386361530622,0.6911753914574261
AK,2021,0.9820582223446102,0.01181939416463122,0.2924370951961976,0.6778017329837813
AL,1960,0.762120752043321,0.6722884350987289,0.00019610820111844935,0.0896362087434736
AL,1961,0.7514185577259267,0.666555737628955,0.00019166852718533714,0.0846711515697863
AL,1962,0.7409572064870039,0.6511100154108636,0.0004291110593060366,0.08941808001683435
AL,1963,0.7597537028785123,0.6456813786839564,0.0006140371449831247,0.11345828704957284
AL,1964,0.745055074991409,0.6534949802498605,0.0004988342059852715,0.09106126053556318
AL,1965,0.7710718236609951,0.6826074462510494,0.0006198009499858197,0.08784457645995992
AL,1966,0.7653356302260762,0.6743941622793435,0.0007935893465469186,0.09014787860018582
AL,1967,0.7452960996348369,0.6694039197699649,0.0007109213752712262,0.07518125848960079
AL,1968,0.7753304041083074,0.6979583209164686,0.000647987081840422,0.0767240961099984
AL,1969,0.7818963463854226,0.7075288808903122,0.0004846564067276264,0.07388280908838281
AL,1970,0.8050199216088005,0.7415180457247653,0.0014998241128739073,0.06200205177116128
AL,1971,0.7544474594373071,0.6825957639695244,0.0013350140021236036,0.07051668146565909
AL,1972,0.7761202335612664,0.6922428559406921,0.005674800411528219,0.07820257720904603
AL,1973,0.7422263127408827,0.6313116826698153,0.01661254929044044,0.0943020807806269
AL,1974,0.7064291458245308,0.5741798307186959,0.03650290747020974,0.09574640763562516
AL,1975,0.7525431191983742,0.6163345194498909,0.04610639085134121,0.09010220889714214
AL,1976,0.7543795495185247,0.6017145420097112,0.05172501529573128,0.10093999221308225
AL,1977,0.6357387243158138,0.47837967746452753,0.05719403222326933,0.10016501462801691
AL,1978,0.6369516372005821,0.448795763011705,0.08328165977888582,0.10487421440999135
AL,1979,0.6462849738934353,0.47588619950289623,0.07920509346749173,0.09119368092304739
AL,1980,0.6284062156845232,0.47538968120710917,0.056577050184379425,0.09643948429303456
AL,1981,0.6286101235026276,0.4640955686470795,0.07056263526580833,0.09395191958973974
AL,1982,0.5972540625613687,0.45427203306499464,0.061276102137160324,0.0817059273592137
AL,1983,0.586188038105556,0.429434555277685,0.07585246783550888,0.08090101499236207
AL,1984,0.6166735386381238,0.45766563772823765,0.07900770589447995,0.08000019501540621
AL,1985,0.6976218255106931,0.5120021683778732,0.0908515501554736,0.09476810697734636
AL,1986,0.7226474505280147,0.5235721158051255,0.09798761942011622,0.10108771530277301
AL,1987,0.7162649646865286,0.5130551099468049,0.1054858116538544,0.09772404308586921
AL,1988,0.7221883362035231,0.5147258955546649,0.1119120533712716,0.09555038727758669
AL,1989,0.6879912003946882,0.5002143286220251,0.10328433798189934,0.0844925337907638
AL,1990,0.7174258259466669,0.5274150579941801,0.10988825920585418,0.08012250874663268
AL,1991,0.6933101170889387,0.4812048707603223,0.13355057381719243,0.07855467251142402
AL,1992,0.6914445511598679,0.4202303706108418,0.19689467097898755,0.07431950957003862
AL,1993,0.6931795288164486,0.404861417593413,0.21532812042031216,0.07298999080272348
AL,1994,0.6661695115664905,0.3472616159617325,0.25392288354844145,0.06498501205631656
AL,1995,0.6737006264108797,0.3681399337996904,0.2396878071496092,0.06587288546158011
