"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=fvvvvvvvvvvvo&endsec=g&freq=A&start=2001&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Apr 23 2024 23:40:57 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"All sectors : Maryland","cents per kilowatthour","ELEC.PRICE.MD-ALL.A",6.60,6.18,6.45,7.15,8.13,9.95,11.50,13.01,13.09,12.71,11.93,11.28,11.66,12.10,12.07,12.21,11.98,11.57,11.24,11.15,11.48,13.32,14.37
"All sectors : North Carolina","cents per kilowatthour","ELEC.PRICE.NC-ALL.A",6.58,6.74,6.86,6.97,7.19,7.53,7.83,7.96,8.48,8.67,8.64,9.15,9.24,9.33,9.37,9.20,9.04,9.25,9.45,9.43,9.29,9.60,10.86
"All sectors : South Carolina","cents per kilowatthour","ELEC.PRICE.SC-ALL.A",5.77,5.83,6.08,6.22,6.72,6.98,7.18,7.85,8.42,8.49,8.80,9.10,9.24,9.67,9.58,9.79,9.97,9.67,10.02,9.90,9.96,10.74,10.76
"All sectors : Virginia","cents per kilowatthour","ELEC.PRICE.VA-ALL.A",6.18,6.23,6.27,6.43,6.64,6.86,7.12,8.00,8.93,8.69,8.84,9.07,8.96,9.17,9.31,9.09,9.18,9.48,9.52,9.16,9.14,10.75,10.92
"All sectors : West Virginia","cents per kilowatthour","ELEC.PRICE.WV-ALL.A",5.07,5.11,5.13,5.13,5.15,5.04,5.34,5.61,6.65,7.45,7.88,8.14,7.91,7.65,8.11,8.98,9.00,8.72,8.49,8.75,8.87,9.74,10.27
"All sectors : East South Central","cents per kilowatthour","ELEC.PRICE.ESC-ALL.A",5.33,5.39,5.55,5.83,6.17,6.78,7.01,7.87,8.13,8.16,8.58,8.58,8.71,9.08,9.06,9.04,9.29,9.29,9.40,9.32,9.69,10.91,10.87
"All sectors : Alabama","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",5.60,5.71,5.88,6.08,6.46,7.07,7.57,8.59,8.83,8.89,9.10,9.18,9.02,9.27,9.33,9.56,9.83,9.63,9.83,9.84,10.18,11.59,11.50
"All sectors : Kentucky","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",4.24,4.26,4.42,4.63,5.01,5.43,5.84,6.26,6.52,6.73,7.17,7.26,7.69,8.15,8.14,8.42,8.57,8.52,8.61,8.58,9.12,10.51,10.05
"All sectors : Mississippi","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",6.26,6.24,6.46,7.00,7.54,8.33,8.03,8.99,8.85,8.59,8.78,8.60,9.11,9.60,9.53,8.67,9.09,9.24,9.28,9.13,9.50,10.36,11.10
"All sectors : Tennessee","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",5.59,5.72,5.84,6.14,6.31,6.97,7.07,8.18,8.69,8.61,9.28,9.27,9.13,9.40,9.30,9.23,9.45,9.58,9.69,9.52,9.78,10.89,10.79
"All sectors : West South Central","cents per kilowatthour","ELEC.PRICE.WSC-ALL.A",7.07,6.33,7.13,7.47,8.48,9.42,9.27,10.13,8.94,8.74,8.54,8.11,8.42,8.65,8.41,8.19,8.26,8.27,8.36,8.17,9.03,10.16,9.76
"All sectors : Arkansas","cents per kilowatthour","ELEC.PRICE.AR-ALL.A",6.05,5.61,5.57,5.67,6.30,6.99,6.96,7.60,7.57,7.28,7.43,7.62,7.93,7.90,8.19,8.13,8.26,7.78,8.22,8.32,9.10,9.91,9.74
"All sectors : Louisiana","cents per kilowatthour","ELEC.PRICE.LA-ALL.A",6.96,5.99,6.93,7.13,8.03,8.30,8.39,9.44,7.06,7.80,7.68,6.90,8.04,8.09,7.65,7.46,7.79,7.71,7.71,7.51,8.82,10.41,8.88
"All sectors : Oklahoma","cents per kilowatthour","ELEC.PRICE.OK-ALL.A",6.10,5.59,6.35,6.50,6.85,7.30,7.29,7.81,6.94,7.59,7.80,7.54,7.86,8.18,7.90,7.83,8.20,8.09,7.86,7.63,8.52,10.05,9.40
"All sectors : Texas","cents per kilowatthour","ELEC.PRICE.TX-ALL.A",7.38,6.62,7.50,7.95,9.14,10.34,10.11,10.99,9.86,9.34,9.00,8.55,8.66,8.94,8.70,8.43,8.38,8.48,8.60,8.36,9.14,10.16,9.99
"All sectors : Mountain","cents per kilowatthour","ELEC.PRICE.MTN-ALL.A",6.44,6.52,6.71,6.86,7.26,7.46,7.69,8.18,8.41,8.59,8.63,8.82,9.18,9.42,9.48,9.31,9.51,9.48,9.39,9.40,9.70,10.46,11.07
"All sectors : Arizona","cents per kilowatthour","ELEC.PRICE.AZ-ALL.A",7.27,7.21,7.34,7.45,7.79,8.24,8.54,9.11,9.56,9.69,9.71,9.81,10.14,10.18,10.34,10.33,10.64,10.85,10.52,10.44,10.73,11.31,12.14
"All sectors : Colorado","cents per kilowatthour","ELEC.PRICE.CO-ALL.A",6.02,6.00,6.77,6.95,7.64,7.61,7.76,8.59,8.31,9.15,9.39,9.39,9.88,10.06,9.94,9.83,9.99,10.02,10.17,10.27,10.90,11.75,11.77
"All sectors : Idaho","cents per kilowatthour","ELEC.PRICE.ID-ALL.A",4.92,5.58,5.22,4.97,5.12,4.92,5.07,5.69,6.51,6.54,6.44,6.92,7.57,7.93,8.09,8.08,8.26,8.17,7.89,7.99,8.17,8.51,9.12
"All sectors : Montana","cents per kilowatthour","ELEC.PRICE.MT-ALL.A",6.48,5.70,6.14,6.40,6.72,6.91,7.13,7.72,7.58,7.84,8.23,8.25,8.58,8.59,8.90,8.84,8.92,8.84,9.02,9.13,9.50,9.97,10.91
