"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=fvvvvvvvvvvvo&endsec=g&freq=A&start=2001&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Apr 23 2024 23:40:57 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"All sectors : Middle Atlantic","cents per kilowatthour","ELEC.PRICE.MAT-ALL.A",9.74,9.58,10.09,10.29,11.07,11.92,12.31,13.17,12.92,13.60,13.37,12.75,12.85,13.41,13.00,12.56,12.63,12.63,12.35,12.56,13.22,15.02,15.43
"All sectors : New Jersey","cents per kilowatthour","ELEC.PRICE.NJ-ALL.A",9.36,9.30,9.48,10.29,10.89,11.88,13.01,14.43,14.53,14.68,14.30,13.68,13.69,13.95,13.74,13.38,13.32,13.23,13.42,13.63,14.01,14.80,15.41
"All sectors : New York","cents per kilowatthour","ELEC.PRICE.NY-ALL.A",11.55,11.16,12.44,12.55,13.95,15.27,15.22,16.47,15.44,16.41,15.89,15.15,15.44,16.25,15.28,14.47,14.74,14.83,14.34,14.87,16.11,18.33,18.32
"All sectors : Pennsylvania","cents per kilowatthour","ELEC.PRICE.PA-ALL.A",8.01,8.06,8.02,8.00,8.27,8.68,9.08,9.33,9.60,10.31,10.45,9.91,9.81,10.28,10.31,10.19,10.13,10.10,9.81,9.70,9.97,11.86,12.54
"All sectors : East North Central","cents per kilowatthour","ELEC.PRICE.ENC-ALL.A",6.46,6.56,6.53,6.64,6.91,7.45,7.97,8.53,8.91,9.08,9.22,9.27,9.40,9.85,9.89,9.94,10.12,10.17,10.13,10.28,10.69,11.77,12.03
"All sectors : Illinois","cents per kilowatthour","ELEC.PRICE.IL-ALL.A",6.90,6.94,6.86,6.80,6.95,7.07,8.46,9.23,9.15,9.13,8.97,8.40,8.26,9.36,9.40,9.38,9.49,9.60,9.56,9.75,10.14,11.94,11.91
"All sectors : Indiana","cents per kilowatthour","ELEC.PRICE.IN-ALL.A",5.30,5.34,5.37,5.58,5.88,6.46,6.50,7.09,7.62,7.67,8.01,8.29,8.73,9.06,8.99,9.22,9.77,9.75,9.91,9.92,10.36,11.66,11.50
"All sectors : Michigan","cents per kilowatthour","ELEC.PRICE.MI-ALL.A",6.97,7.09,6.85,6.94,7.23,8.14,8.53,8.93,9.40,9.88,10.40,10.98,11.21,11.03,10.76,11.05,11.28,11.40,11.56,12.21,12.93,13.20,13.66
"All sectors : Ohio","cents per kilowatthour","ELEC.PRICE.OH-ALL.A",6.62,6.77,6.73,6.89,7.08,7.71,7.91,8.39,9.02,9.14,9.03,9.12,9.20,9.73,9.98,9.84,9.84,9.94,9.58,9.44,9.76,10.64,11.12
"All sectors : Wisconsin","cents per kilowatthour","ELEC.PRICE.WI-ALL.A",6.08,6.28,6.64,6.88,7.48,8.13,8.48,9.00,9.38,9.78,10.21,10.28,10.51,10.57,10.73,10.67,10.76,10.58,10.66,10.82,11.01,11.95,12.63
"All sectors : West North Central","cents per kilowatthour","ELEC.PRICE.WNC-ALL.A",5.99,5.96,6.03,6.17,6.37,6.65,6.83,7.13,7.57,7.93,8.26,8.54,8.98,9.12,9.29,9.59,9.77,9.81,9.69,9.69,9.90,10.38,10.49
"All sectors : Iowa","cents per kilowatthour","ELEC.PRICE.IA-ALL.A",6.14,6.01,6.11,6.40,6.69,7.01,6.83,6.89,7.37,7.66,7.56,7.71,8.07,8.15,8.35,8.55,8.73,8.92,9.08,8.97,9.13,9.57,9.43
"All sectors : Kansas","cents per kilowatthour","ELEC.PRICE.KS-ALL.A",6.24,6.31,6.35,6.37,6.55,6.89,6.84,7.45,7.98,8.35,8.89,9.33,9.72,10.16,10.14,10.49,10.60,10.72,10.26,10.38,10.47,11.47,11.12
"All sectors : Minnesota","cents per kilowatthour","ELEC.PRICE.MN-ALL.A",5.97,5.80,6.01,6.24,6.61,6.98,7.44,7.79,8.14,8.41,8.65,8.86,9.41,9.52,9.53,9.99,10.27,10.37,10.33,10.57,11.08,12.04,12.17
"All sectors : Missouri","cents per kilowatthour","ELEC.PRICE.MO-ALL.A",6.03,6.09,6.02,6.07,6.13,6.30,6.56,6.84,7.35,7.78,8.32,8.53,9.04,9.11,9.44,9.74,10.03,9.93,9.68,9.64,9.85,10.26,11.01
"All sectors : Nebraska","cents per kilowatthour","ELEC.PRICE.NE-ALL.A",5.39,5.55,5.64,5.70,5.87,6.07,6.28,6.58,7.21,7.52,7.88,8.37,8.74,8.84,8.91,9.05,9.08,9.02,9.08,8.97,8.84,8.83,9.19
"All sectors : North Dakota","cents per kilowatthour","ELEC.PRICE.ND-ALL.A",5.48,5.45,5.47,5.69,5.92,6.21,6.42,6.69,6.63,7.11,7.50,7.83,8.20,8.41,8.75,8.94,8.78,8.91,8.85,8.53,8.65,8.42,7.92
"All sectors : South Dakota","cents per kilowatthour","ELEC.PRICE.SD-ALL.A",6.35,6.26,6.35,6.44,6.60,6.70,6.89,7.14,7.39,7.82,8.05,8.49,8.86,9.05,9.47,9.83,10.05,9.97,9.96,10.06,10.43,10.44,10.42
"All sectors : South Atlantic","cents per kilowatthour","ELEC.PRICE.SAT-ALL.A",6.68,6.56,6.77,7.05,7.59,8.42,8.68,9.33,9.87,9.61,9.74,9.73,9.75,10.07,9.97,9.79,9.96,9.90,10.02,9.84,10.12,11.48,12.03
"All sectors : Delaware","cents per kilowatthour","ELEC.PRICE.DE-ALL.A",6.80,6.91,6.96,7.53,7.76,10.13,11.35,12.38,12.20,11.97,11.48,11.06,10.90,11.22,11.17,11.09,10.90,10.55,10.52,10.24,10.50,11.83,12.96
"All sectors : District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-ALL.A",7.40,7.34,7.40,7.47,9.18,11.08,11.79,13.18,13.23,13.35,12.81,11.85,11.85,12.11,12.07,11.73,11.80,12.03,12.27,11.90,12.81,14.94,16.53
"All sectors : Florida","cents per kilowatthour","ELEC.PRICE.FL-ALL.A",7.67,7.31,7.72,8.16,8.76,10.45,10.33,10.74,11.49,10.58,10.61,10.44,10.22,10.77,10.49,9.91,10.42,10.32,10.44,10.06,10.67,12.51,13.51
"All sectors : Georgia","cents per kilowatthour","ELEC.PRICE.GA-ALL.A",6.39,6.24,6.32,6.58,7.43,7.63,7.86,8.84,8.81,8.87,9.61,9.37,9.69,10.03,9.62,9.59,9.83,9.62,9.86,9.93,10.43,12.00,11.36
